"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"38",25,36,25,32,39,25,35,30,29,24,33,32,31,24,15
"39",33,33,46,29,29,35,26,33,32,31,32,33,29,20,26
"40",16,17,24,24,16,20,17,23,9,19,13,16,14,19,9
"41",45,47,55,38,51,44,41,42,37,39,48,42,39,24,37
"42",14,24,21,23,11,15,14,15,14,15,14,19,15,18,13
"43",32,21,29,20,35,20,18,15,25,17,30,27,21,30,25
"44",17,32,30,30,22,34,34,33,17,21,24,35,20,20,20
"45",14,24,18,17,17,16,16,20,17,14,12,18,19,10,12
"46",51,46,59,41,42,46,56,44,35,51,35,36,39,32,30
"47",31,31,33,29,25,28,25,22,31,19,24,21,23,25,13
"48",41,36,48,36,32,38,41,33,33,28,29,37,29,24,29
"49",19,20,29,22,21,24,24,22,15,17,15,20,18,23,21
"50",39,37,49,41,45,53,43,45,35,43,44,52,23,29,34
"51",38,60,47,44,41,42,42,35,27,47,38,49,40,27,37
"52",22,25,39,37,35,34,27,29,20,20,18,24,24,17,16
"53",31,43,51,50,34,45,53,41,43,47,33,48,40,35,32
"54",18,22,25,33,31,24,25,27,23,18,24,21,25,20,16
"55",25,17,34,20,28,22,29,28,22,28,13,25,27,19,15
"56",26,42,37,33,34,29,47,32,31,29,24,38,23,22,20
"57",39,46,43,36,42,39,44,36,34,27,35,39,47,33,32
"58",25,26,29,29,21,23,18,24,17,22,21,20,24,19,18
"59",19,18,30,32,23,17,23,16,17,18,18,16,16,13,12
"60",22,23,37,20,19,19,28,19,22,23,19,26,20,20,17
"61",30,41,47,47,42,38,49,31,36,39,40,43,28,32,28
"62",17,15,19,18,13,21,15,19,13,14,16,14,15,17,14
"63",83,85,85,62,78,73,74,89,67,70,82,64,54,55,36
"64",40,69,57,63,71,68,45,63,41,36,39,54,49,39,28
"65",46,54,50,52,49,37,40,36,25,36,34,32,41,31,30
"66",24,45,30,35,29,32,37,24,24,21,30,21,23,31,24
"67",7,12,10,14,15,9,9,11,12,9,9,6,10,9,3
"68",56,38,55,61,57,68,68,54,32,42,46,46,46,36,37
"69",16,15,16,20,18,18,18,14,14,9,15,15,13,7,13
"70",13,16,28,20,12,16,21,15,17,7,15,8,13,15,13
"71",45,57,59,57,63,63,77,62,46,39,57,42,56,44,44
"72",35,33,34,32,27,31,32,35,23,24,21,38,24,24,20
"73",30,24,26,29,26,32,23,29,20,22,27,21,29,18,26
"74",28,34,40,36,38,43,40,32,25,19,32,29,28,27,21
"75",86,92,108,93,100,110,107,92,70,72,81,104,78,67,57
"76",24,20,18,19,14,20,17,17,22,17,15,14,12,15,17
"77",39,41,42,39,37,42,26,42,43,28,28,32,33,33,40
"78",46,42,49,57,57,44,45,36,43,46,43,51,41,29,36
"79",24,22,26,29,40,24,41,27,17,19,19,20,24,12,5
"80",19,22,31,23,23,30,23,14,27,13,16,15,18,10,17
"81",27,24,19,20,14,23,19,14,16,24,12,25,10,18,16
"82",20,22,19,12,23,22,25,10,17,21,17,20,15,22,7
"83",61,95,65,76,67,65,75,63,63,55,58,73,60,55,63
"84",57,64,66,64,58,72,61,58,62,51,53,50,50,39,51
"85",27,36,44,34,34,36,27,39,32,34,31,33,25,27,22
"86",21,28,29,17,15,21,28,25,16,14,27,22,14,19,23
"87",51,52,58,52,49,56,66,48,47,46,51,37,42,35,31
"88",38,49,54,34,49,44,47,40,37,34,41,34,27,39,28
"89",10,22,21,35,20,29,28,22,23,20,7,13,22,13,15
"90",25,38,42,39,29,27,38,35,24,27,38,32,23,30,27
"91",31,29,43,37,39,30,30,30,22,28,32,37,27,19,20
"92",24,34,36,36,33,30,25,24,21,22,28,26,20,31,20
"93",26,31,32,30,21,31,29,32,23,16,16,39,23,16,21
"94",57,70,82,65,68,85,79,68,63,60,59,69,41,50,50
"95",41,38,43,63,55,57,56,46,40,48,34,59,41,35,34
"96",35,39,47,40,37,32,32,35,29,18,24,30,30,25,37
"97",31,41,53,50,33,43,34,42,24,31,36,45,32,21,32
"98",36,47,53,44,50,44,48,35,30,38,29,48,35,23,22
"99",48,50,53,46,48,67,48,48,38,35,36,36,40,39,30
"100",24,29,28,17,14,23,23,15,13,18,20,22,23,11,23
"101",40,41,23,34,30,28,33,21,22,33,28,30,26,30,23
"102",36,32,32,29,20,26,36,26,21,17,26,24,19,20,18
"103",33,34,36,40,34,44,32,39,38,43,41,30,31,28,21
"104",31,36,35,26,39,37,36,46,23,19,32,31,21,34,22
"105",19,10,10,16,23,17,23,13,13,9,13,11,13,13,12
"106",54,63,56,63,57,63,65,55,41,54,45,59,50,45,37
"107",117,109,151,133,119,113,136,122,82,115,116,89,99,86,88
"108",79,70,76,82,69,69,74,60,64,45,73,81,59,65,46
"109",45,55,56,70,55,51,58,48,56,47,43,45,43,57,32
"110",41,29,30,28,21,37,34,26,26,19,21,25,20,16,20
"111",55,63,83,78,85,69,74,58,63,60,72,76,81,68,58
"112",30,27,33,21,28,23,25,19,18,20,24,17,20,19,13
"113",61,61,72,64,52,64,54,43,53,43,50,47,49,39,40
"114",64,48,48,54,52,50,57,59,35,46,35,52,36,42,33
"115",23,19,30,25,20,28,19,23,14,20,18,26,15,19,19
"116",25,30,38,42,25,26,30,24,33,31,27,20,22,28,17
"117",39,36,42,39,34,35,23,47,31,23,30,26,34,28,25
"118",21,23,26,25,25,23,28,21,20,17,20,27,16,10,20
"119",45,43,56,54,41,44,48,44,31,32,39,44,39,37,33
"120",30,27,35,35,22,34,20,20,14,24,22,23,24,19,15
"121",32,32,35,39,41,32,38,36,37,27,26,30,33,21,24
"122",29,25,26,23,31,34,35,19,24,18,25,27,20,14,20
"123",40,55,59,62,53,54,59,51,37,41,48,56,44,34,39
"124",38,36,47,44,35,49,44,37,39,42,42,33,33,30,29
"125",37,47,40,58,38,53,56,38,45,38,35,48,42,41,29
"126",47,55,56,47,58,50,60,48,36,55,44,48,37,35,48
"127",30,21,47,24,32,28,38,39,28,29,23,26,22,21,26
"128",36,41,44,35,31,36,35,28,46,34,40,33,30,29,33
"129",47,42,55,52,65,54,45,39,39,25,46,42,42,27,40
"130",71,47,62,54,50,64,52,30,40,44,48,55,57,35,41
"131",40,49,51,48,57,57,59,43,44,45,30,49,48,25,21
"132",33,45,52,46,42,49,47,43,34,45,33,30,54,31,26
"133",42,38,55,47,46,34,41,30,37,26,40,35,26,28,33
"134",21,28,30,26,28,26,18,39,20,15,24,26,19,24,20
"135",38,37,32,26,22,40,45,40,32,22,28,27,24,33,25
"136",26,35,39,35,22,32,26,35,26,24,34,29,16,20,17
"137",30,28,37,42,46,39,28,31,32,26,39,28,29,24,29
"138",41,30,45,47,46,49,29,35,29,31,32,30,34,28,36
"139",32,31,25,38,36,19,41,35,25,20,31,30,27,21,21
"140",21,26,27,25,15,26,28,22,17,17,16,17,15,19,16
"141",45,54,38,45,46,51,49,48,36,36,38,60,37,30,25
"142",43,50,60,30,44,46,51,34,42,32,41,41,43,22,32
"143",40,30,45,47,37,36,38,34,22,28,38,34,32,32,32
"144",38,59,49,45,31,47,44,39,47,33,40,38,39,33,28
"145",27,32,26,30,24,26,28,30,35,27,22,26,26,12,21
"146",43,48,37,49,52,48,43,44,47,39,31,39,27,35,34
"147",23,40,39,29,23,35,31,22,25,15,22,17,30,20,20
"148",30,24,30,35,23,28,34,19,22,23,21,25,32,22,18
"149",36,26,30,31,36,38,33,27,22,19,28,27,37,32,19
"150",31,25,39,35,34,33,42,35,25,20,26,24,34,28,20
"151",44,41,38,45,37,38,52,24,56,32,50,40,35,33,32
"152",31,33,36,35,36,23,44,27,28,28,30,34,28,22,30
"153",25,23,33,31,26,19,24,20,21,16,16,18,18,9,15
"154",17,13,21,16,19,19,12,12,14,10,17,9,13,15,15
"155",38,34,39,33,34,47,37,30,26,32,27,37,26,29,23
"156",20,23,20,22,17,17,11,13,19,19,22,32,21,20,18
"157",21,18,29,31,37,17,31,16,24,15,16,17,17,14,17
"158",76,61,62,72,72,69,75,70,67,57,57,56,54,43,52
"159",20,12,16,19,15,17,21,19,11,17,17,17,15,11,5
"160",29,33,50,42,30,37,50,29,26,22,24,42,37,28,41
"161",27,30,30,34,29,22,26,19,31,30,14,27,12,26,20
"162",33,31,39,34,22,31,37,25,34,24,30,33,24,20,15
"163",23,22,30,17,23,25,17,12,5,23,19,19,18,12,17
"164",32,31,35,37,38,30,34,35,25,24,18,26,27,20,33
"165",31,34,29,36,36,35,20,29,19,22,26,23,23,24,29
"166",36,42,49,33,57,41,47,45,36,36,41,38,31,36,30
"167",22,27,24,29,22,23,37,20,21,28,25,21,24,16,18
"168",17,18,15,26,14,11,13,12,15,12,16,16,13,7,11
"169",7,7,13,13,10,9,7,8,7,6,13,8,7,5,5
"170",15,17,17,19,14,15,16,16,11,16,10,18,11,13,10
"171",26,23,26,24,26,20,16,19,20,16,23,25,17,18,17
"172",45,39,54,48,40,48,49,35,41,40,42,43,40,26,25
"173",33,34,44,41,36,39,28,25,29,23,36,28,31,28,21
"174",12,20,22,27,19,24,18,18,22,14,20,18,17,18,16
"175",15,14,13,26,14,14,23,13,16,16,10,14,10,11,6
"176",16,21,27,21,20,14,16,22,13,17,23,16,10,8,11
"177",95,83,109,74,92,106,110,94,82,77,75,90,74,61,57
"178",25,22,28,28,28,25,36,31,19,28,26,18,29,16,24
"179",21,22,35,22,19,32,15,18,22,11,21,18,11,13,13
"180",26,31,32,19,25,31,27,17,17,13,26,18,21,24,13
"181",12,10,12,20,10,10,18,14,23,10,17,18,8,12,10
"182",34,22,31,35,28,37,26,18,23,24,28,25,32,18,11
"183",21,37,36,27,27,28,27,26,25,23,19,19,28,19,17
"184",79,74,80,86,67,73,70,66,72,58,65,66,56,66,44
"185",18,30,38,24,26,25,23,28,25,21,22,23,18,22,13
"186",24,24,24,33,25,21,30,27,25,23,28,20,21,21,20
"187",22,23,29,27,16,36,34,27,24,21,18,26,22,19,25
"188",47,52,53,52,55,60,65,37,41,45,44,41,36,39,38
"189",104,96,112,119,104,104,110,87,92,92,95,85,83,51,80
"190",80,91,94,90,106,84,107,71,72,85,87,92,59,65,57
"191",92,84,116,106,120,114,104,90,79,71,83,84,70,70,79
"192",18,28,30,20,20,25,28,39,30,27,17,15,19,21,25
"193",80,83,96,76,73,75,82,77,70,50,61,60,58,62,51
"194",47,54,47,36,41,45,47,36,30,39,32,38,30,31,34
"195",25,32,28,34,24,23,35,29,31,17,30,30,27,30,14
"196",36,40,53,47,42,47,44,35,36,43,44,46,21,46,39
"197",128,97,130,116,125,110,98,111,89,107,105,108,89,89,94
"198",50,64,57,51,50,56,46,41,49,39,41,47,39,45,35
"199",20,18,30,33,38,26,22,21,15,22,25,21,21,18,20
"200",25,30,28,22,17,27,22,17,14,15,18,12,18,11,21
"201",32,31,41,25,34,32,35,25,24,25,32,28,34,24,18
"202",21,39,37,32,27,20,20,30,19,18,23,19,22,19,14
"203",29,34,30,25,24,24,26,33,20,22,19,30,26,21,19
"204",53,47,61,37,48,49,55,42,33,34,49,26,39,36,39
"205",47,67,69,73,54,58,66,56,62,39,53,45,47,31,44
"206",25,17,27,28,29,23,22,23,13,17,14,22,18,10,23
"207",36,42,38,35,45,39,38,35,35,23,25,32,27,35,21
"208",77,68,62,78,64,59,68,61,63,59,45,60,51,46,53
"209",102,135,126,134,133,113,124,125,106,100,106,136,96,95,88
"210",51,37,55,41,42,40,36,31,43,30,37,35,39,37,35
