"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"136",25,32,33,27,47,37,52,27,33,27,29,18,15,22,23
"137",24,31,35,44,40,37,34,32,32,40,24,23,24,40,30
"138",37,39,48,43,50,45,49,47,46,46,30,30,33,34,45
"139",22,37,35,24,45,28,25,27,23,28,15,23,23,23,22
"140",16,26,17,27,27,37,27,21,20,22,26,22,18,19,15
"141",48,37,55,60,50,59,53,44,50,58,37,35,34,37,40
"142",39,35,48,45,48,55,38,55,36,43,45,36,36,40,37
"143",40,38,34,31,44,44,54,34,32,33,15,39,34,32,42
"144",47,33,43,30,47,50,39,40,45,32,38,36,23,27,23
"145",35,30,36,35,30,44,38,31,31,33,11,24,15,26,30
"146",43,50,44,28,49,38,35,41,44,36,25,22,20,23,27
"147",29,32,32,26,46,35,30,27,33,34,26,22,16,23,31
"148",32,31,37,25,37,43,30,21,23,22,22,24,23,22,21
"149",25,23,38,27,35,41,34,28,25,36,24,27,28,28,25
"150",30,39,38,36,46,47,40,33,38,33,36,33,42,30,41
"151",44,55,37,46,68,67,58,45,54,55,41,36,33,43,44
"152",33,35,34,37,50,67,39,39,43,30,31,36,28,30,28
"153",27,17,23,20,37,35,33,24,36,27,13,23,19,21,26
"154",19,16,26,9,23,22,26,19,11,22,8,8,12,15,4
"155",26,36,43,50,34,42,41,37,38,38,32,38,22,31,30
"156",27,28,35,33,38,43,29,29,41,37,29,19,23,20,23
"157",17,25,36,34,29,27,26,28,30,26,20,18,21,18,15
"158",42,41,90,73,69,61,80,58,55,66,50,43,56,40,51
"159",10,16,11,9,15,16,17,12,10,7,8,9,3,6,15
"160",35,39,40,33,47,56,57,47,36,48,24,34,28,33,40
"161",19,24,33,23,27,30,25,26,15,23,20,20,25,15,27
"162",20,34,32,27,41,33,31,39,26,21,23,33,23,26,15
"163",26,24,30,38,28,33,31,35,30,17,26,23,19,25,18
"164",33,35,53,32,45,45,40,46,29,40,20,35,26,33,32
"165",30,32,27,31,49,42,22,20,31,22,28,32,24,26,30
"166",52,48,47,33,72,56,44,56,34,51,45,32,37,36,40
"167",25,31,40,36,40,33,33,20,35,32,21,29,23,19,34
"168",12,19,18,14,10,15,16,13,12,7,9,5,9,14,13
"169",17,17,14,14,20,21,16,16,15,16,15,18,10,9,18
"170",13,14,24,11,22,27,30,21,27,19,25,9,17,17,11
"171",15,21,18,9,24,27,26,17,14,25,11,18,13,14,18
"172",56,50,47,42,67,59,56,51,37,50,34,44,38,33,36
"173",26,29,33,27,39,38,24,38,33,30,24,23,17,19,23
"174",31,29,29,26,26,32,29,39,21,17,24,27,23,22,21
"175",16,15,19,13,21,17,17,14,13,13,6,11,11,16,18
"176",13,11,15,21,15,23,22,15,17,12,9,13,14,13,6
"177",79,59,95,107,96,102,84,92,72,80,56,68,77,88,73
"178",31,19,34,33,28,31,29,31,30,21,23,20,24,25,24
"179",26,17,25,19,22,30,17,21,26,24,15,17,18,15,8
"180",19,32,29,41,34,28,36,32,36,27,19,25,24,17,23
"181",6,21,13,16,19,26,21,14,14,23,11,15,12,12,12
"182",22,29,41,30,45,35,47,29,40,41,29,29,25,39,29
"183",23,22,27,23,38,38,36,23,28,22,21,32,21,15,24
"184",66,63,84,79,95,110,99,76,82,88,69,72,74,66,85
"185",16,18,23,22,20,20,17,24,23,23,20,21,11,14,22
"186",25,27,26,21,27,26,23,21,22,22,17,34,19,24,16
"187",21,28,26,26,24,32,33,16,19,22,23,12,14,21,27
"188",43,40,56,42,62,69,64,48,34,47,40,39,49,37,38
"189",84,78,102,101,141,117,92,98,97,103,61,82,84,81,89
"190",68,65,80,77,68,97,74,78,75,58,52,62,60,50,55
"191",76,58,69,60,79,80,84,69,63,72,63,38,46,61,51
"192",23,21,26,26,31,26,27,23,21,20,17,22,17,22,14
"193",58,64,80,60,78,89,102,65,72,82,50,52,61,51,62
"194",22,38,31,33,47,29,39,33,26,31,29,27,26,30,31
"195",16,22,33,20,24,30,26,19,24,27,19,32,20,21,27
"196",33,33,48,37,33,47,56,43,35,47,34,32,31,33,41
"197",95,93,108,98,107,125,97,76,83,80,74,66,59,81,83
"198",51,62,75,63,81,92,66,62,67,64,57,57,58,58,49
"199",24,27,22,19,33,28,16,19,23,24,16,27,21,20,25
"200",12,25,31,32,21,23,27,20,18,18,15,19,15,24,21
"201",39,29,23,24,55,43,45,34,41,35,22,30,24,33,30
"202",21,23,26,22,23,30,35,21,21,22,26,15,20,15,24
"203",11,21,23,15,17,22,25,18,17,26,18,18,19,11,14
"204",39,47,45,40,58,46,44,38,48,44,35,38,35,35,35
"205",61,52,75,63,93,80,66,78,58,64,45,64,53,61,72
"206",25,21,34,25,32,27,24,24,29,29,13,26,16,16,20
"207",33,26,30,27,36,41,33,33,24,29,18,28,19,21,27
"208",65,47,72,45,81,78,61,67,65,72,43,44,57,52,55
"209",97,96,138,107,122,150,105,119,87,131,86,103,82,94,98
"210",31,32,37,38,43,48,38,37,32,45,35,36,31,42,26
