"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"138",29,33,60,48,33,30,37,31,46,47,32,15,29,28,28
"139",28,28,32,30,41,26,28,23,24,36,27,19,29,27,30
"140",16,21,18,29,21,21,21,19,24,19,25,19,31,17,27
"141",39,55,41,38,49,42,39,31,36,48,35,35,34,34,38
"142",41,44,41,46,30,31,44,39,33,47,35,36,36,45,36
"143",46,38,44,43,46,47,42,35,28,45,47,18,49,36,36
"144",34,30,51,51,57,52,44,35,26,46,32,42,41,25,45
"145",23,22,32,29,21,29,35,31,23,28,11,19,28,19,31
"146",34,36,38,42,36,40,48,27,31,41,44,28,39,33,39
"147",34,23,41,41,43,31,41,26,20,30,26,22,41,23,32
"148",16,33,34,42,31,21,41,38,27,24,29,27,21,39,35
"149",45,33,41,31,37,42,35,22,30,35,36,29,42,28,32
"150",33,31,28,43,33,46,39,38,44,39,28,28,32,38,40
"151",34,29,39,40,55,39,41,42,33,37,34,24,40,37,31
"152",30,17,25,23,18,24,12,21,18,22,20,21,17,20,15
"153",16,30,21,27,31,20,22,23,22,26,23,21,28,23,19
"154",21,21,29,14,21,17,18,11,15,17,29,12,17,19,19
"155",43,31,31,29,44,31,34,28,33,30,28,25,30,33,38
"156",23,26,22,33,41,36,33,34,22,31,19,26,24,30,20
"157",20,19,20,22,18,15,24,13,14,25,14,15,16,20,20
"158",59,63,84,71,61,63,68,50,52,66,58,50,61,58,64
"159",15,15,6,17,12,14,17,13,14,12,14,10,11,5,9
"160",17,35,38,47,33,34,48,35,25,27,26,27,28,35,35
"161",26,22,26,31,14,27,26,23,16,29,26,22,31,24,28
"162",38,29,42,35,33,28,39,30,23,32,20,33,28,33,28
"163",25,22,24,28,23,23,26,21,23,23,34,17,17,18,31
"164",52,35,39,50,43,42,51,34,34,40,35,31,35,30,39
"165",33,33,36,32,30,31,32,19,20,33,21,23,28,25,26
"166",49,50,46,37,49,57,47,26,44,35,44,27,40,26,41
"167",38,27,26,31,36,27,42,35,20,19,29,25,22,24,30
"168",12,15,28,13,12,11,16,11,10,12,12,10,20,14,22
"169",22,14,16,11,15,15,14,15,12,14,6,11,14,14,15
"170",26,12,16,18,22,27,22,19,16,18,22,17,16,14,31
"171",19,19,16,24,26,21,18,16,22,19,17,13,23,20,16
"172",33,38,50,36,43,36,32,44,32,43,31,22,34,34,28
"173",27,27,39,32,26,27,31,28,26,21,35,28,31,23,24
"174",35,30,35,44,23,33,38,26,26,32,27,23,33,21,32
"175",11,21,19,15,14,8,22,18,7,16,14,14,14,15,14
"176",14,13,22,17,16,17,16,20,12,11,14,13,19,10,12
"177",110,82,123,111,117,102,96,86,74,103,84,68,114,71,80
"178",31,32,37,29,29,31,30,30,26,31,33,29,28,32,30
"179",15,10,11,20,21,22,16,12,15,10,18,23,17,12,21
"180",31,29,29,30,32,50,27,25,26,32,26,24,30,29,28
"181",22,15,12,16,18,20,18,16,18,15,11,12,11,11,9
"182",24,41,40,33,26,35,29,32,26,17,32,20,26,26,34
"183",32,34,21,37,33,36,30,25,23,37,22,16,23,25,33
"184",96,70,84,75,81,65,80,58,70,67,87,70,83,62,76
"185",16,12,20,17,16,18,25,19,12,10,16,20,14,14,24
"186",19,16,20,25,30,24,18,19,23,12,23,25,24,30,20
"187",39,28,31,23,24,38,35,30,27,38,24,16,21,21,35
"188",54,64,93,83,60,60,57,45,46,60,53,57,50,62,58
"189",88,91,127,109,113,96,121,89,72,104,91,72,118,89,104
"190",77,80,82,90,96,68,95,63,63,93,67,58,80,70,82
"191",85,84,119,102,67,83,80,99,63,84,79,63,83,74,86
"192",25,36,32,34,19,28,47,31,11,27,27,25,29,32,28
"193",86,70,79,102,94,73,100,61,65,77,68,72,83,84,77
"194",42,50,48,52,36,41,38,29,41,43,38,37,49,40,34
"195",26,30,35,30,28,32,41,31,30,36,20,28,31,25,28
"196",49,35,40,45,46,45,52,33,26,26,34,32,23,42,38
"197",110,94,131,93,102,125,97,86,84,88,82,81,111,88,92
"198",56,63,63,65,81,69,90,60,65,68,64,50,61,64,48
"199",34,32,34,37,31,34,26,21,24,27,27,18,33,30,24
"200",25,19,12,29,26,23,25,15,12,17,14,14,24,26,23
"201",35,46,46,34,28,32,46,28,35,27,24,33,43,39,31
"202",11,19,30,29,20,28,27,15,16,21,20,28,14,25,30
"203",25,27,30,32,17,25,32,10,13,16,18,18,20,23,26
"204",45,48,46,61,45,37,40,38,47,36,40,29,39,31,39
"205",82,70,79,88,58,82,69,46,57,72,67,51,69,64,54
"206",18,18,22,22,25,27,30,20,21,23,21,18,25,20,19
"207",37,25,34,29,27,30,34,19,38,36,26,24,40,28,37
"208",83,58,81,80,80,71,65,61,55,59,58,59,65,54,78
"209",101,122,133,153,112,126,111,102,109,115,94,95,113,108,110
"210",37,37,48,54,33,49,39,43,35,33,44,41,53,35,24
